Scenario;Type;Commit;Timer (in ms);Heap Memory (in Mb);Direct Memory (in Mb);Target Store Size;Cacheline length
MultiVersionColumnImprintsSecondaryRecordIndex;15;31;0;12;100;64
MultiVersionColumnImprintsSecondaryRecordIndex;16;36;0;12;100;64
MultiVersionColumnImprintsSecondaryRecordIndex;17;35;0;12;100;64
MultiVersionColumnImprintsSecondaryRecordIndex;18;38;0;12;100;64
MultiVersionColumnImprintsSecondaryRecordIndex;19;37;0;12;100;64
MultiVersionColumnImprintsSecondaryRecordIndex;20;29;0;12;100;64
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;1;8;0;40;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;2;24;0;40;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;3;15;0;40;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;4;19;0;40;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;5;18;0;40;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;6;25;0;40;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;7;22;0;40;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;8;27;0;40;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;9;25;0;40;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;10;21;0;40;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;11;27;0;40;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;12;31;0;40;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;13;30;0;41;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;14;27;0;41;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;15;24;0;41;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;16;32;0;41;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;17;34;0;41;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;18;25;0;41;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;19;27;0;41;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;20;32;0;42;100;8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;1;7;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;2;22;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;3;19;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;4;20;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;5;19;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;6;21;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;7;24;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;8;24;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;9;26;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;10;25;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;11;28;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;12;28;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;13;31;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;14;23;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;15;29;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;16;36;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;17;35;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;18;38;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;19;33;0;20;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;20;30;0;21;100;16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;1;7;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;2;20;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;3;18;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;4;18;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;5;18;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;6;19;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;7;23;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;8;23;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;9;25;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;10;24;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;11;28;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;12;31;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;13;32;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;14;32;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;15;30;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;16;32;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;17;37;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;18;35;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;19;37;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;20;36;0;10;100;32
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;1;8;0;5;100;64
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;2;21;0;5;100;64
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;3;19;0;5;100;64
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;4;20;0;5;100;64
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;5;20;0;5;100;64
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;6;21;0;5;100;64
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;7;19;0;5;100;64
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;8;21;0;5;100;64
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;9;26;0;5;100;64
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;10;26;0;5;100;64
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;11;29;0;5;100;64
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;12;30;0;5;100;64
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;13;32;0;5;100;64
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;14;23;0;5;100;64
