Scenario;Type;Commit;Timer (in ms);Heap Memory (in Mb);Direct Memory (in Mb);Target Store Size
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndex;16;1534;5931;2381;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndex;17;1379;6107;2381;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndex;18;1441;5318;2381;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndex;19;1419;5490;2381;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndex;20;1417;5670;2381;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;1;660;5260;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;2;1344;5440;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;3;1321;5612;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;4;1370;5793;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;5;1363;5969;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;6;1318;5248;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;7;1376;5420;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;8;1337;5601;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;9;1462;5773;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;10;1403;5949;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;11;1381;6125;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;12;1422;6301;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;13;1324;5289;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;14;1302;5473;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;15;1311;5645;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;16;1305;5821;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;17;1307;5998;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;18;1305;6174;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;19;1381;6346;2359;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;20;1345;6522;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;1;1;5155;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;2;42;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;3;43;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;4;43;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;5;41;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;6;41;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;7;38;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;8;39;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;9;41;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;10;38;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;11;37;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;12;38;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;13;39;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;14;38;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;15;37;5159;2381;100
