Scenario;Type;Commit;Timer (in ms);Heap Memory (in Mb);Direct Memory (in Mb);Target Store Size
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;20;807;5405;2483;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;1;51;5213;2359;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;2;131;5238;2363;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;3;170;5267;2366;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;4;221;5305;2369;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;5;249;5347;2372;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;6;290;5393;2379;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;7;324;5460;2385;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;8;359;5527;2395;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;9;382;5599;2402;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;10;418;5670;2411;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;11;460;5754;2425;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;12;501;5863;2435;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;13;539;5378;2427;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;14;565;5504;2444;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;15;591;5634;2457;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;16;628;5768;2473;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;17;664;5907;2489;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;18;705;6049;2508;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;19;744;6192;2525;100
UpdateSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;20;796;6335;2544;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;1;5320;5657;2402;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;2;10507;7343;2404;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;3;10747;7945;2405;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;4;10845;8024;2407;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;5;11182;8062;2408;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;6;10555;6476;2410;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;7;10419;9429;2411;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;8;10096;6607;2410;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;9;10409;9563;2411;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;10;10483;7949;2410;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;11;10072;10906;2411;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;12;10310;8079;2410;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;13;10196;6477;2410;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;14;10365;9434;2411;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;15;10102;6611;2410;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;16;10321;9559;2411;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;17;10529;7953;2410;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;18;10153;10910;2411;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;19;10270;8083;2410;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;20;10188;6477;2410;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;1;5490;6580;2381;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;2;11650;6657;2382;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;3;11384;9606;2384;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;4;11070;8086;2385;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;5;10824;6580;2387;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;6;10885;9528;2388;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;7;10820;8052;2388;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;8;10701;6580;2388;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;9;10795;9528;2390;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;10;11010;8065;2388;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;11;10745;6576;2388;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;12;10767;9524;2390;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;13;10848;8065;2388;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;14;10690;6584;2388;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;15;10923;9533;2390;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;16;10957;8057;2388;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;17;10666;6580;2388;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;18;10893;9537;2390;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;19;10986;8057;2388;2000
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndexWithoutRLECompression;20;10700;6580;2388;2000

